month,views,article,access_type
2020-06-01,2180,Deinocheirus,mobile
2020-07-01,2361,Deinocheirus,mobile
2020-08-01,2331,Deinocheirus,mobile
2020-09-01,2033,Deinocheirus,mobile
2020-10-01,2263,Deinocheirus,mobile
2020-11-01,2057,Deinocheirus,mobile
2020-12-01,2126,Deinocheirus,mobile
2021-01-01,2153,Deinocheirus,mobile
2021-02-01,2467,Deinocheirus,mobile
2021-03-01,2320,Deinocheirus,mobile
2021-04-01,2098,Deinocheirus,mobile
2021-05-01,234704,Deinocheirus,mobile
2021-06-01,3964,Deinocheirus,mobile
2021-07-01,2279,Deinocheirus,mobile
2021-08-01,2427,Deinocheirus,mobile
2021-09-01,1957,Deinocheirus,mobile
2021-10-01,2293,Deinocheirus,mobile
2021-11-01,2610,Deinocheirus,mobile
2021-12-01,2438,Deinocheirus,mobile
2022-01-01,2344,Deinocheirus,mobile
2022-02-01,2376,Deinocheirus,mobile
2022-03-01,2243,Deinocheirus,mobile
2022-04-01,3982,Deinocheirus,mobile
2022-05-01,13039,Deinocheirus,mobile
2022-06-01,10698,Deinocheirus,mobile
2022-07-01,5755,Deinocheirus,mobile
2022-08-01,4104,Deinocheirus,mobile
2022-09-01,3153,Deinocheirus,mobile
2015-07-01,28695,Giganotosaurus,mobile
2015-08-01,15427,Giganotosaurus,mobile
2015-09-01,11192,Giganotosaurus,mobile
2015-10-01,16773,Giganotosaurus,mobile
2015-11-01,15951,Giganotosaurus,mobile
2015-12-01,15157,Giganotosaurus,mobile
2016-01-01,22416,Giganotosaurus,mobile
2016-02-01,15383,Giganotosaurus,mobile
2016-03-01,14046,Giganotosaurus,mobile
2016-04-01,14938,Giganotosaurus,mobile
2016-05-01,13701,Giganotosaurus,mobile
2016-06-01,19528,Giganotosaurus,mobile
2016-07-01,13537,Giganotosaurus,mobile
2016-08-01,11433,Giganotosaurus,mobile
2016-09-01,9539,Giganotosaurus,mobile
2016-10-01,9983,Giganotosaurus,mobile
2016-11-01,9607,Giganotosaurus,mobile
2016-12-01,12459,Giganotosaurus,mobile
2017-01-01,15869,Giganotosaurus,mobile
2017-02-01,13427,Giganotosaurus,mobile
2017-03-01,17572,Giganotosaurus,mobile
2017-04-01,13163,Giganotosaurus,mobile
2017-05-01,12591,Giganotosaurus,mobile
2017-06-01,10822,Giganotosaurus,mobile
2017-07-01,50356,Giganotosaurus,mobile
2017-08-01,19884,Giganotosaurus,mobile
2017-09-01,9302,Giganotosaurus,mobile
2017-10-01,10251,Giganotosaurus,mobile
2017-11-01,10490,Giganotosaurus,mobile
2017-12-01,13508,Giganotosaurus,mobile
2018-01-01,13319,Giganotosaurus,mobile
2018-02-01,11600,Giganotosaurus,mobile
2018-03-01,12661,Giganotosaurus,mobile
2018-04-01,13466,Giganotosaurus,mobile
2018-05-01,14990,Giganotosaurus,mobile
2018-06-01,34383,Giganotosaurus,mobile
2018-07-01,36710,Giganotosaurus,mobile
2018-08-01,17968,Giganotosaurus,mobile
2018-09-01,13154,Giganotosaurus,mobile
2018-10-01,10367,Giganotosaurus,mobile
2018-11-01,10225,Giganotosaurus,mobile
